target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,dollar_store,osm:way:701452725,Dollar General,Dollar General,,Bingen,WA,,45.719639,-121.4744586,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cathlamet,Cathlamet minimum postal parish candidate,minimum_postal_parish_candidate,dollar_store,osm:way:1285357470,Dollar General,Dollar General,,Cathlamet,WA,,46.200266,-123.3708965,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,dollar_store,osm:way:1059442133,Dollar General,Dollar General,,Connell,WA,,46.6516727,-118.8595933,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-darrington,Darrington minimum postal parish candidate,minimum_postal_parish_candidate,dollar_store,osm:node:11904797818,Family Dollar,Family Dollar,1295 State Route 530 Northeast,Darrington,WA,98241,48.2564071,-121.6127818,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-loon-lake,Loon Lake minimum postal parish candidate,minimum_postal_parish_candidate,dollar_store,osm:way:1100877802,Dollar General,Dollar General,,Loon Lake,WA,,48.0596818,-117.6251802,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-mattawa,Mattawa minimum postal parish candidate,minimum_postal_parish_candidate,dollar_store,osm:node:14067223322,Dollar General,Dollar General,,Mattawa,WA,,46.7373302,-119.9096038,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
