target_id,primary_city,laundromat_status,candidate_rows,packet_ready_rows,excluded_rows,sample_names,review_note
ga-second-pilot-ball-ground,Ball Ground,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no packet-ready rows.
ga-second-pilot-cohutta,Cohutta,checked_absent,0,0,0,,Completed OSM laundromat target-box pass returned no packet-ready rows.
