facility_id,facility_name,city,state,review_status,semantic_review_status,semantic_review_reason
osm:node:349581014,Ada Post Office,Ada,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1192404087,Adams Post Office,Adams,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349562722,Adrian Post Office,Adrian,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349585184,Afton Post Office,Afton,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:386976022,Akeley Post Office,Akeley,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349577210,Albany Post Office,Albany,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349563260,Albert Lea Post Office,Albert Lea,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:690790728,Alberta Post Office,Alberta,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:550964578,Albertville Post Office,Albertville,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349578795,Alexandria Post Office,Alexandria,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349578087,Almelund Post Office,Almelund,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:4630331218,Alpha Post Office,Alpha,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349565054,Altura Post Office,Altura,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1110572525,Amboy Post Office,Amboy,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349574992,Annandale Post Office,Annandale,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:2828173081,Anoka Post Office,Anoka,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:35860924,Apple Valley Post Office,Apple Valley,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349567313,Appleton Post Office,Appleton,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349566899,Arlington Post Office,Arlington,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349575788,Ashby Post Office,Ashby,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349578653,Askov Post Office,Askov,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349573454,Atwater Post Office,Atwater,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1428433194,Audubon Post Office,Audubon,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349590513,Aurora Post Office,Aurora,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349563516,Avoca Post Office,Avoca,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349590761,Babbitt Post Office,Babbitt,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349579406,Backus Post Office,Backus,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349590346,Badger Post Office,Badger,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349581926,Baker Post Office,Baker,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349566484,Balaton Post Office,Balaton,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1491274671,Barnesville Post Office,Barnesville,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349575870,Barrett Post Office,Barrett,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1469318796,Barwick Canada Post,Barwick Canada Post,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:5757927926,Barwick cnr crew transfere,Barwick cnr crew transfere,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1227628297,Bayport Postal Service,Bayport Postal Service,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:6326665843,Bear Creek Post Office,Bear Creek,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349574475,Beardsley Post Office,Beardsley,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349562830,Beaver Creek Post Office,Beaver Creek,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349579385,Becker Post Office,Becker,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349580907,Bejou Post Office,Bejou,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349573229,Belgrade Post Office,Belgrade,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349581294,Belle Plaine Post Office,Belle Plaine,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349570667,Bellingham Post Office,Bellingham,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:612774533,Beltrami Post Office,Beltrami,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349566229,Belview Post Office,Belview,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349567405,Benson Post Office,Benson,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349578234,Bertha Post Office,Bertha,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:1370076234,Bethel Post Office,Bethel,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:222206241,Big Lake Post Office,Big Lake,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349562714,Bigelow Post Office,Bigelow,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:way:887352071,Bigfork Post Office,Bigfork,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349564372,Bingham Post Office,Bingham,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349568112,Bird Island Post Office,Bird Island,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349590697,Biwabik Post Office,Biwabik,MN,packet_ready,public_postal_anchor_label,public_post_office_label
osm:node:349564753,Bixby Post Office,Bixby,MN,packet_ready,public_postal_anchor_label,public_post_office_label
