target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
il-third-pilot-albion,Albion third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:way/845230653,Albion Post Office,United States Postal Service,,Albion,IL,,38.3772862,-88.0602246,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
il-third-pilot-altamont,Altamont third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:node/354210866,Altamont Post Office,USPS,,Altamont,IL,,39.0602118,-88.7492809,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
il-third-pilot-arcola,Arcola third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:node/354259713,Arcola Post Office,United States Postal Service,,Arcola,IL,61910,39.6844692,-88.3056034,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:node/354207605,Fairbury Post Office,United States Postal Service,127 East Locust Street,Fairbury,IL,61739,40.7468049,-88.5119239,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-greenup,Greenup third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:node/354213983,Greenup Post Office,United States Postal Service,,Greenup,IL,,39.2472603,-88.1630942,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
il-third-pilot-mount-carmel,Mount Carmel third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:node/354186026,Mount Carmel Post Office,,,Mount Carmel,IL,,38.4111579,-87.7614174,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
il-third-pilot-virden,Virden third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:node/10155463257,U.S. Post Office,United States Postal Service,210 East Main Street,Thayer,IL,62689,39.5374087,-89.7606816,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-virden,Virden third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:node/354217247,Virden Post Office,USPS,,Virden,IL,,39.5021985,-89.7679493,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:node/1707397687,Winthrop Harbor Post Office,United States Postal Service,1225 Sheridan Road F,Winthrop Harbor,IL,60096,42.4724463,-87.8237872,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,post_office,osm:way/966813559,Zion Post Office,United States Postal Service,1225 Shiloh Boulevard,Zion,IL,60099,42.4495139,-87.8261745,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
