target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:6629583469,,,,9 to 5 Print,NM,,36.3663395,-105.5993734,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:6629559708,Allsup's,,,9 to 5 Print,NM,,36.4146381,-105.5676127,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:6719012559,Allsup's,,,9 to 5 Print,NM,,36.3828404,-105.5882964,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:12082250234,Hail Creek Travel Center,,,9 to 5 Print,NM,,36.4246256,-105.5724664,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:12750203639,Maverik,,,9 to 5 Print,NM,,36.3794046,-105.5909408,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:6627016048,Speedway,,,9 to 5 Print,NM,,36.3798451,-105.5888419,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:6718761322,Speedway,,,9 to 5 Print,NM,,36.3886057,-105.5828231,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:9042197505,Speedway,,,9 to 5 Print,NM,,36.3636912,-105.6039498,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:7021856987,Supersave,,,9 to 5 Print,NM,,36.3966162,-105.5777117,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:2067092654,,,,ABQ Montano Annex,NM,,35.1109766,-106.6619627,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:183754401,,,,ABQ Montano Annex,NM,,35.1314626,-106.5870480,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
