target_id,primary_city,settlement_size_proxy,gas_convenience_status,candidate_rows,packet_ready_rows,excluded_rows,sample_names,review_note
national-post-office-ri-annex-finance-af912748c0,Annex Finance,50000_plus,observed,29,29,0,7-Eleven; AZ Mini Mart; Asiana Food Market; Campus Market; Capital Gulf; Cumberland Farms; Eastside Mart; Explosion Market,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-apponaug-station-f8f803db9f,Apponaug Station,50000_plus,observed,11,11,0,Bellevue Essentials; CNBC; Cumberland Farms; Mobil / Alltown; Napatree Marketplace; Seasons; Sunoco; Tiger Mart,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-barrington-82bdad8fc9,Barrington,10000_to_49999,checked_absent,0,0,0,,No named gas_convenience rows found in Geofabrik OSM GeoPackage target box.
national-post-office-ri-block-island-ac7592fa0e,Block Island,under_2500,observed,1,1,0,Seaside Variety,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-bristol-350c233b54,Bristol,10000_to_49999,checked_absent,0,0,0,,No named gas_convenience rows found in Geofabrik OSM GeoPackage target box.
national-post-office-ri-broadway-346c2a36b6,Broadway,10000_to_49999,observed,12,12,0,7-Eleven; Ash Mart; C. H. Charles 5 & Dime; Citgo; Cumberland Farms; JD Convenience; Joe's Kwik Mart; Mobil,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-bryant-university-1c4c9cc6b0,Bryant University,10000_to_49999,observed,3,2,1,7-Eleven; Grab and Go,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-central-falls-211329b45d,Central Falls,10000_to_49999,observed,12,12,0,A Plus; Ama's Variety and Mini Mart; Cumberland Farms; Feast & Fettle; Gulf Express; M&R Convenience; Pawtucket Food Mart; Seasons,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-centreville-57742e4232,Centreville,10000_to_49999,observed,20,20,0,Americanmart; Breads -n- Stuff; Coventry Mini-Mart; Cumberland Farms; Mobil / Alltown; Mobil Mart; Prince Food Mart; Quality Fuel Mart,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-ri-chepachet-3035201489,Chepachet,2500_to_9999,checked_absent,0,0,0,,No named gas_convenience rows found in Geofabrik OSM GeoPackage target box.
national-post-office-ri-clayville-f1ff22f00c,Clayville,10000_to_49999,checked_absent,0,0,0,,No named gas_convenience rows found in Geofabrik OSM GeoPackage target box.
national-post-office-ri-coventry-6d6e6926c0,Coventry,10000_to_49999,observed,5,5,0,Coventry Mini-Mart; Cumberland Farms; Mobil Mart; Shell; Speedway,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
