target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ca-sonora-e095478671,Sonora,food_service,observed,56,Amala Detox and Tea Lounge; Applebee's; Bagel Bin; Barrow's Cafe & Grill; Be Wok and Sushi; Carl's Jr.; Cocina Michocana; Day-O; Diamondback Grill; Domino's; El Arroyo; El Jardín; Emberz; Escondite De La Torre; Flappy's Pizza Company; GK Mongolian; Goodness Cafe; Gus Steakhouse; Heart Rock Coffee Company; Hong Kong Garden; Jack in the Box; Jamba; Jamestown Hotel and Restaurant; Jimtown Frosty; KFC; McDonald's; Morelia; Mountain Mike's; National Hotel; Nox Sonora; Panda Express; Papa Murphy's; Pinnochio's; Revive Coffee; Round Table Pizza; Schnoog's Cafe & Espresso; Sonora Taqueria; Sonora Thai Cuisine; Starbucks; Strings Italian; Subway; Taco Bell; Taqueria La Esmeralda; The Armory; The Habit Burger Grill; The Peppery Gar & Brill; Togo's; Washington Street Sandwich Company; Wendy's; Willow Steakhouse and; Yianni's Grill; Yoshoku,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-forestville-76b2d0fdbd,Forestville,food_service,observed,8,Canneti; Carrs; La Rosa Market & Taquería; Pascaline Patisserie & Cafe; Roasters Espresso Bar; Russian River Pub; Sonoma Pizza Company; Tiny Town Cafe,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-soledad-2a4f7e829e,Soledad,food_service,observed,23,"Burger King; California Gourmet Pizza; Carl's Jr.; Chicali's Grill; China One Express; Denny's; Donuts ""n"" Bagels; El Camaron; Gabilan Pizza; La Fuente Restaurant; Los Girasoles; Mariscos Puerto Nuevo; McDonald's; Palmas Restaurant; Round Table Pizza; Starbucks; Subway; Taco Bell; Tacos Garibaldi; Taqueria Casa Del Palmar; Taqueria Pacheco; Teriyaki Express; The Windmill Restaurant",Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro,food_service,observed,129,8-Twelve; 85°C; A&W; Angry Fish Sushi; Aqua Fresh Fish and Chips; Asia Delight; Bag O' Crab; Be Well Juice Co.; Beijing Bowl; Bens Burgers; Best BBQ Chinese Food; Black Angus; Bluebird Pizzeria; Bonchon Chicken; Boulevard Burger; Burger King; Cafe 4; Cafe Liano; Carl's Jr.; Chili's; Chipotle; Cinco Taco Bar; Dave's Hot Chicken; Denny's; El Buen Sabor de Mexico; Emil Villa's Hickory Pit; Fosters Freeze; Frank's Sports Bar & Grill; Fusion Delight; Habibi's Birria; Happy Dogies; Happy Donuts; Hawaiian Grill Express; Hong Kong Chef; Hunan Restaurant; IHOP; Ike's Love and Sandwiches; Imperial garden; In-N-Out Burger; Indian Grill; Istanbul Kitchen; JP Seoul Tofu House; Jack in the Box; Jerry's Beefburgers; Jin Gege; Joe's Pho; KFC; Kanda Ramen & BBQ; Kendejah; La Casita; La Casita Chilanga - Torteria; La Salsa; Lavanta Mezze Bar & Restaurant; Le Soleil Vietnamese Noodles & Grill; Lee's Donuts; Lotus Leaf; Mai Thai; Makiyaki; Marina Cafe; Marina Pizza Parlor; Mariscos El Tata; Masta Gua Malatang & BBQ; McDonald's; Mel's Diner; Metro Taquero; Minami Sushi; Ming's Donuts; Mochinut; Mountain Mike's; Nation's Giant Hamburgers & Great Pies; Oriental Tea House; Papa Murphy's; Paradiso; Peet's Coffee; Pelton Cafe; Pho Hoa Ty; Pieology; Poke Star sushi; Popeyes; Quickly; Quiznos; Ramen 101; Red Pepper Pizza; Red Wing; Rocky's Charcoal Grill; Round Table Pizza; Sam's Super Burgers; Scend's Restaurant; Sharetea; Slice House; Smack Burgers; Sons of Liberty; Starbucks; Subway; Sushiland; Taco Bell; Tao's Fresh; Taqueria Pericos; The Habit Burger Grill; Theo's CheeseSteak Shop; Top Hatters Kitchen & Bar; Wendy's; Wingstop; Xiang Yuan Xiao Long Bao; YAOYAO姚姚酸菜魚; Zocalo; iTea,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-big-pine-c6a6b457b7,Big Pine,food_service,observed,5,Brewed Awakening; Copper Top BBQ; Country Kitchen; Hugo's; Two Brothers From Italy,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-postalannex-3d05afd908,PostalAnnex,food_service,observed,359,1 Oz Coffee; A Good Morning; Ada's Cafe; Adachi; Agave Mexican Bistro; Amarin Thai Cusine; Amber India; American Italian Delicatessen and Gelateria; Amici; Annachikadai; AppaKadai; Arby's; Asa Los Altos; Asian Box; Asian Street Eatery; Aurum; Backyard; Bagel Street Cafe; Baja Fresh; Baji's Cafe; Barbayani Greek Taverna; Basecamp; Bean Scene; Bibo's Pizza and Pasta; Big Bites Vietnamese Eatery; Big Table; Bloom & Vine; Bloomsgiving; Blue Line Pizza; Bluestone Lane Los Altos Café; Boba Bliss; Boba Guys; Bonchon Chicken; Bowl of Heaven; Bridget’s Market; Cafe Baklava; Cafe Nur; Cafeteria; Carl's Jr.; Casa Lupe; Casa Mia; Cascal; Caspian Grill Restaurant; Celia's Mexican Restaurant; Chaat Bhavan; Chalateco; Charlie’s Cafe; Chef Chu's; Chez TJ; Chicken G's; Chili's; China Wok; Chipotle; Clocktower Coffee; Cloud Bistro; Cloud Cafe; Coffee Lab; Costa; Coupa Cafe; Crepevine; Cucina Venti; Da Sichuan Bistro; Dana Street Roasting Company; Das Bierhauz; Desi Pizza House; Dinah’s Poolside Restaurant; Dohatsuten; Domino's; Donut Basket; Doppio Zero; Dumpling Garden; Eighty-Eight; El Comal; El Paso Cafe; Epic Dumpling; Erik's DeliCafe; Erik's DeliCafé; Esther's German Restaurant; Estrellita's Mexican Restaurant; Eureka!; Everest Cuisine; Evolution Cafe; Fairchilds Public House; Fiesta Vallarta; First Wok; Fish With You; Fishfood; Five Guys; Foothill College Cafeteria; Four Seasons; Fu Lam Mum; Fuki Sushi; Garden Fresh; Giorgio's; Gochi Japanese Tapas; Google Cafe; Green Bakery & Café; Green Burrito; Green Elephant Gourmet; Halftime Cafe; Hanabi Sushi; Hanamaru; Happy Donuts; Happy Lamb Hot Pot; Happy Lemon; Heritage; Himalayan Kitchen; Hiroshi; Hobee's Restaurant; Hobee’s; Holder's Country Inn; Hon Sushi; Honey Baked Ham; Hong Kong Bakery and Cafe; Hong Kong Restaurant; House of Bagels; House on First; Hummus Mediterranean Kitchen; Hyderabad Dum Biryani; INDO Restaurant & Lounge; Idly Express; Ike's Love and Sandwiches; Il Fornaio; In-N-Out Burger; Jack in the Box; Jamba; Jennifer Taqueria; Jersey Mike's Subs; Joy Sushi; Joya Super Taqueria; Joyous Cuisine; Junbi; KFC; KJ's Cafe; Kakaroto Japanese Restaurant; Khao Kang Thai Kitchen; Kirin; Kitchen at Palo Alto; KitchenSync; Kitty Noodle House; Kona Island Coffee; Konjoe Burger; Krispy Kreme; Kunjip Tofu; L&L Hawaiian Barbecue; La Costeña; La Fiesta; La Fontaine; La Plaza Taquería; Le Boulanger; Le Petit Bistro; Limón; Little Blue Door; Little Caesars; Los Altos Grill; Los Altos Taqueria; Los Amigos; Los Charros; Los Portales; LuLu's; Lucky; Ludwig's Biergarten; Madras Café; Main Street Bagels; Maison Alyzée; Maldonado's Pizzeria; Mamacitas Tacos; Mantra India; Masa; Masa Sushi; McDonald's; Mediterranean Grill House; Mega Bites Café; Mendocino Farms; MiXiT Charleston; Midnight Kitchen; Mifen 101; Mikado; Mizu Sushi Bar & Grill; Mochi Waffle Corner; Mountain Mike's; Mr. Bao Kitchen; Mr. Sun; Muracci's 2; NAR; Napoletana Pizzeria; New Mongolian BBQ; New York Pizza Mountain View; Nick The Greek; OX 9; Ocha; Olympus Caffè & Bakery; Oren's Hummus Shop; Orenchi; Pacific Catch; Panda Express; Panera Bread; Papa John's; Papas and Eggs (Mountain View); Pausa; Pav Bhaji And More; Peet's Coffee; Peppermint Indian restaurant; Pho Avenue; Pho Tran Vu; Phở Quyền 2 Noodle House; Phở Tô Châu; Phở Vỉ Hoa; Pixel; Pizza My Heart; Poké House; Pokéworks; Pompeii; Portal Cafe; Posh Bagel; Pour Decisions Craft; Queen House; Ramen Izakaya Yu-Gen; Rathore's Kitchen; Red Berry Coffee Bar; Red Rock Coffee; Redwood Grill; Regal Bagel Cafe; Rick's Cafe; Rick's Ice Cream; Rincón Sabroso; Ristorante Don Giovanni; Roger's DELI & DONUTS; Round Table Pizza; Rustic House Oyster Bar & Grill; SAJJ Mediterranean; SaiGon BreadFast; Sakoon; San Miguel Taqueria; Satkar Indian cuisine; Satsuma; Scratch; Seasons Noodle & Dumpling Garden; Shake Shack; Shana Thai; Shiba Sushi; Show De Carnes Brazilian Steakhouse; Siam Fine Thai Cuisine; Slice House Pizza; So Gong Dong Tofu House; Sourdough & Co.; Specialty's Café & Bakery; Sports Page Bar & Grill; Spot Pizza; Starbird Chicken; Starbucks; State of Mind Public House and Pizzeria; State of Mind Slice House; Subway; Sudam; Sumika; Sumo; Super Tacos Pino Suarez; Super Taqueria; Superhot Hot Pot; Sushi 85; Sushi Arashi; Sushi Jin; Sushi Katsu; Sushi Tomi; Sushi Tomo; Sushiko; Sweet Shop; Sweetgreen; T. Castle; Taco Bell; Tacos Al Vapor; Tacos Don Valle; Tal Palo; Tandoori Junction; Taqueria El Grullense M&G; Taqueria La Espuela; Taqueria Tres Hermanos; Tea Annie; Tea Cub Boba & Snack; Tea Era; Teaspoon; The Breakfast Club at Midtown; The Counter; The Good Salad; The Habit Burger Grill; The Market Kitchen @ Ava's; The Old Siam; The Original Pancake House; The Pasta Market; The Pho Cabin; The Posh Bagel; The Post; The Sea by Alexander's Steakhouse; The SpaceBar; The Voya Restaurant; Threads; Tie Mu Zhen; Togo's; Toki Sushi; Tommy Thai; Totoro; Tres Monti; Udon Mugizo; Ume Tea; Urfa Bistro; Vaso Azzurro; Veggie Garden; Verde Tea Cafe; Village Pantry; Vitality Bowls; Vive Sol; WAN; Wagon Wheel BBQ; Wingstop; Yakiniku Ginza; Yami Grill; Yi Fang Tea; Yoshi's Sushi; Yoshka’s; Yutori; Zareen’s; Zhangliang Malatang; ZombieRunner Coffee; 水餃之城;Dumpling City; 福牛堂 Noodle Talk,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-pioneer-496558d781,Pioneer,food_service,observed,1,Mace Meadows Mountain Grille,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-crescent-mills-a3611132f6,Crescent Mills,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-san-joaquin-25318cc47c,San Joaquin,food_service,observed,1,Lafiesta Taqueria,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-diablo-b33cebdca3,Diablo,food_service,observed,82,"11th Tiger - Thai Street Café; Akira Bistro; Albatross; Amici; Aozora Japanese Restaurant; Bagel Street Cafe; Basque Boulangerie Café; Beep's Burgers; Black Bear Diner; Blue Line Pizza; Bridges Restaurant and Bar; China Courmet; Christy's Donuts; Chronic Taco; Cielito Cocina Mexicana; Cocina Hermanas; Corner of Brazil; Crumbs Breakfast, Lunch & Bar; Crush'd Wine Bar Kitchen; DAON; Danville Brewing Company; Danville Harvest; Domino's; El Nido; Esin Restaurant & Bar; Forbes Mill Steakhouse; Fosters Freeze; GMamas Halal; Hazy Barbecue; Incontro Ristorante; Jersey Mike's Subs; Kaori Danville; Leo's Chinese Restaurant; Life is Sweet Bakery and Cafe; Lilikoi Boba; Locanda Ravello; Los Panchos; Luna Loca; Mangia Mi; Maria Maria; Medleno Coffee Shop and Roastery; Melo's; Mountain Mike's; Nanking Bistro; Noah's Bagels; Norm's Place; Palnadu Ruchulu; Panda Express; Peet's Coffee; Pete's Brass Rail & Car Wash; Piatti; Pizza Antica; Pressed Juicery; Primo's Pizzeria & Pub; Provence Pizza; Revel Kitchen & Bar; Round Table Pizza; Santorini Mediterranean Cuisine; Sliver Pizzeria Danville; Slow G's Eatery; Starbucks; Subway; Sultan's Kebab; Sushi Bar Hana; Sushi Yokohama; Taco Bell Cantina; Taru Japanese Cuisine; Thai House Restaurant; The Great Greek Mediterrean Grill; The Great Impasta; The Growler; Togo's; Vally Medlyn's; Villa Ravello; Virtue + Vice; Vitality Bowls; Worth Group; Yo's On Hartz; Yogurt Shack; Zalla Kabob House; Zaya Thai Pantry",Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
