target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
il-third-pilot-albion,Albion third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/845230656,McDonald's,McDonald's,,Albion,IL,,38.3774398,-88.0597745,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-altamont,Altamont third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/761868466,Deb's Catering and Custard Stand,,,Altamont,IL,,39.0536224,-88.7481983,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-altamont,Altamont third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/9875879201,Joe's Pizza,,1008 S Main,Altamont,IL,62411,39.0480970,-88.7485027,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-altamont,Altamont third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/761868507,McDonald's,McDonald's,,Altamont,IL,,39.0475593,-88.7485861,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-altamont,Altamont third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/761868521,Subway,Subway,1011 S Main Street,Altamont,IL,62411,39.0465777,-88.7474453,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-arcola,Arcola third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/1073222842,Broomtown Cafe,,130 East Main Street,Arcola,IL,61910,39.6841315,-88.3068793,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-arcola,Arcola third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/5150100691,DQ Grill & Chill,DQ Grill & Chill,601 East Springfield Road,Arcola,IL,61910-1804,39.6812947,-88.2970943,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-arcola,Arcola third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/9428866692,McDonald's,McDonald's,550 East Springfield Road,Arcola,IL,61910,39.6806201,-88.2977643,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/2443345759,China Kitchen,,108 West Locust Street,Fairbury,IL,61739,40.7470180,-88.5138424,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/2443348750,DQ Grill & Chill,DQ Grill & Chill,411 West Oak Street,Fairbury,IL,61739,40.7435068,-88.5189862,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/9859596848,Dos Fuentes,,1105 West Oak Street,Fairbury,IL,61739,40.7436000,-88.5292587,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/12871054910,Dream Cabin Coffee,,130 East Locust Street,Fairbury,IL,,40.7470461,-88.5118837,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/2443345761,Lost in Time,,,Fairbury,IL,,40.7470354,-88.5114000,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/2443352612,Marchelloni's,,,Fairbury,IL,,40.7467398,-88.5075948,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/9859635361,Monical's Pizza,Monical's Pizza,600 West Oak Street,Fairbury,IL,61739,40.7440704,-88.5214323,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/2443355291,Route 24 Diner,,,Fairbury,IL,,40.7442329,-88.5055964,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
