target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:8996842739,Annex Finance Post Office,,,Annex Finance,RI,,41.8260461,-71.4111795,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:8769615799,Apponaug Station Post Office,,,Apponaug Station,RI,,41.6994810,-71.4559220,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:311642434,Barrington Post Office,,,Barrington,RI,,41.7437279,-71.3306801,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:7941399335,Block Island Post Office,,,Block Island,RI,,41.1717533,-71.5564587,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:357258915,Bristol Post Office,,,Bristol,RI,,41.6710715,-71.2768818,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:2799954006,Broadway Post Office,,,Broadway,RI,,41.4949202,-71.3086741,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:6970577903,Bryant University Post Office,,,Bryant University,RI,,41.9197295,-71.5387554,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:357264115,Central Falls Post Office,,,Central Falls,RI,,41.8870442,-71.3875561,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:147059322,Centreville Post Office,,,Centreville,RI,,41.7062665,-71.5229605,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:461365076,Chepachet Post Office,,,Chepachet,RI,,41.9129472,-71.6684649,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ri-geofabrik-post-office-seed,RI Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:357268303,Clayville Post Office,,,Clayville,RI,,41.7740428,-71.6721012,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
