target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note,seed_facility_id,seed_facility_name,seed_source,seed_source_date,sample_stratum,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_join_key,settlement_proxy_note
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Airport,post_office_point_probe,,41.1186,41.1886,-104.8660,-104.7760,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:14237143,USPS Airport,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-alpine-bd2d53e915,Alpine post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Alpine,post_office_point_probe,,43.1283,43.1983,-111.0644,-110.9744,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:8963974228,Alpine Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-auburn-0e0a391047,Auburn post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Auburn,post_office_point_probe,,42.7573,42.8273,-111.0463,-110.9563,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:8594922909,Auburn Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-beulah-02adcbe8f4,Beulah post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Beulah,post_office_point_probe,,44.5092,44.5792,-104.1275,-104.0375,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:4917226278,Beulah Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-big-horn-809ef111f7,Big Horn post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Big Horn,post_office_point_probe,,44.6456,44.7156,-107.0370,-106.9470,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1036677751,Big Horn Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-boulder-wy-b9fd25d928,"Boulder, WY post-office-centered national sample candidate",national_post_office_sample_candidate,WY,"Boulder, WY",post_office_point_probe,,42.7120,42.7820,-109.7648,-109.6748,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:386533847,"Boulder, WY Post Office",Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-buffalo-main-46c786b9c1,Buffalo Main post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Buffalo Main,post_office_point_probe,,44.3099,44.3799,-106.7426,-106.6526,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:785147832,Buffalo Main Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Capitol Station,post_office_point_probe,,41.1024,41.1724,-104.8638,-104.7738,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:9807732771,USPS Capitol Station,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Carpenter WY,post_office_point_probe,,41.0109,41.0809,-104.4108,-104.3208,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:818117495,Carpenter WY Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-casper-2e4affc90a,Casper post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Casper,post_office_point_probe,,42.8185,42.8885,-106.3245,-106.2345,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1233849738,Casper Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-centennial-db8e2c4b6f,Centennial post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Centennial,post_office_point_probe,,41.2633,41.3333,-106.1875,-106.0975,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:855207199,Centennial Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-cheyenne-main-42bc384548,Cheyenne Main post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Cheyenne Main,post_office_point_probe,,41.1277,41.1977,-104.8322,-104.7422,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:232097155,Cheyenne Main,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-devils-tower-2b647cad84,Devils Tower post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Devils Tower,post_office_point_probe,,44.5544,44.6244,-104.7433,-104.6533,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:3990884467,Devils Tower Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-downtown-d843f7ed9b,Downtown post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Downtown,post_office_point_probe,,43.4434,43.5134,-110.8107,-110.7207,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:5924959685,Downtown Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-fairview-c3a3697e9e,Fairview post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Fairview,post_office_point_probe,,42.6541,42.7241,-111.0321,-110.9421,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:369613391,Fairview Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-fedex-ship-center-2a4f6d3fd4,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,WY,FedEx Ship Center,post_office_point_probe,,41.1138,41.1838,-104.8629,-104.7729,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:367692960,FedEx Ship Center,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,WY,FedEx Ship Center,post_office_point_probe,,44.2384,44.3084,-105.5372,-105.4472,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:503460647,FedEx Ship Center,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-fedex-ship-center-cffd1b3430,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,WY,FedEx Ship Center,post_office_point_probe,,41.2742,41.3442,-105.6112,-105.5212,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:11406562812,FedEx Ship Center,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-fort-bridger-8920c21878,Fort Bridger post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Fort Bridger,post_office_point_probe,,41.2812,41.3512,-110.4290,-110.3390,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:560399335,Fort Bridger Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-freedom-f474b81b17,Freedom post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Freedom,post_office_point_probe,,42.9471,43.0171,-111.0889,-110.9989,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:2014234853,Freedom Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-wy-gillette-ea67d0f83b,Gillette post-office-centered national sample candidate,national_post_office_sample_candidate,WY,Gillette,post_office_point_probe,,44.2567,44.3267,-105.5471,-105.4571,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:267298949,Gillette Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,WY,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
