target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:258701977,Drop N Dash Laundromat,,,Airport,WY,,41.1584908,-104.8016951,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-alpine-bd2d53e915,Alpine post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2295984007,Laundromat,,,Alpine,WY,,43.1625212,-111.0222567,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:258701977,Drop N Dash Laundromat,,,Capitol Station,WY,,41.1584908,-104.8016951,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-cheyenne-main-42bc384548,Cheyenne Main post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:258701977,Drop N Dash Laundromat,,,Cheyenne Main,WY,,41.1584908,-104.8016951,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
