target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-mn-chanhassen-7760ede94d,Chanhassen post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:258506165,Kwik Trip,,,Chanhassen,MN,,44.8423545,-93.5398607,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-mn-chanhassen-7760ede94d,Chanhassen post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:52255163,Kwik Trip,,,Chanhassen,MN,,44.8642618,-93.5780934,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-mn-chanhassen-7760ede94d,Chanhassen post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:4801670883,Speedway,,,Chanhassen,MN,,44.8908140,-93.5815998,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-mn-harmony-6f58a446af,Harmony post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1517226103,Kwik Trip,,,Harmony,MN,,43.5587324,-92.0106455,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-mn-heron-lake-96bbf7a835,Heron Lake post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1102712690,,,,Heron Lake,MN,,43.7971847,-95.3201623,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-mn-jackson-9a163870c4,Jackson post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:703421293,,,,Jackson,MN,,43.6220751,-94.9883206,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-mn-jackson-9a163870c4,Jackson post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:703487608,,,,Jackson,MN,,43.6384194,-94.9963765,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-mn-new-ulm-55013a5407,New Ulm post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:4511437409,,,,New Ulm,MN,,44.2978446,-94.4460433,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-mn-new-ulm-55013a5407,New Ulm post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:4511437459,Casey's General Store,,,New Ulm,MN,,44.2951438,-94.4385974,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-mn-new-ulm-55013a5407,New Ulm post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:454411066,Freedom Valu Center,,,New Ulm,MN,,44.3197081,-94.4658685,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-mn-new-ulm-55013a5407,New Ulm post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:4507734304,Holiday,,,New Ulm,MN,,44.3283705,-94.4881345,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-mn-new-ulm-55013a5407,New Ulm post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1307276105,Kwik Trip,,,New Ulm,MN,,44.3286608,-94.4765189,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-mn-new-ulm-55013a5407,New Ulm post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:559636749,Kwik Trip,,,New Ulm,MN,,44.2974484,-94.4454997,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-mn-new-ulm-55013a5407,New Ulm post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:4503676227,SSL,,,New Ulm,MN,,44.3200906,-94.4649095,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
