target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ms-clarksdale-dd861c33cc,Clarksdale post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:13519879946,,,,Clarksdale,MS,,34.2340367,-90.5300005,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ms-clarksdale-dd861c33cc,Clarksdale post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1528296986,,,,Clarksdale,MS,,34.2027486,-90.5755974,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ms-clarksdale-dd861c33cc,Clarksdale post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1528305718,,,,Clarksdale,MS,,34.2040627,-90.5760097,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ms-clarksdale-dd861c33cc,Clarksdale post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1235166326,Tiger 1 Mart,,,Clarksdale,MS,,34.1951049,-90.5646315,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ms-heidelberg-c07f8caa16,Heidelberg post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:315647379,Chevron,,,Heidelberg,MS,,31.9046658,-89.0141325,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ms-heidelberg-c07f8caa16,Heidelberg post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:315647374,Clark's #8,,,Heidelberg,MS,,31.9055685,-89.0146154,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ms-heidelberg-c07f8caa16,Heidelberg post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:680098987,Heidelberg One Stop,,,Heidelberg,MS,,31.8974344,-88.9956065,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ms-heidelberg-c07f8caa16,Heidelberg post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:315647382,Valero,,,Heidelberg,MS,,31.9052292,-89.0133412,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ms-ocean-springs-5194ac9e54,Ocean Springs post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:138692207,,,,Ocean Springs,MS,,30.4156824,-88.8242563,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ms-ocean-springs-5194ac9e54,Ocean Springs post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:334298568,Kangaroo Express,,,Ocean Springs,MS,,30.4157577,-88.8268741,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ms-ocean-springs-5194ac9e54,Ocean Springs post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:138682947,Molher's,,,Ocean Springs,MS,,30.4112742,-88.8274740,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
