target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:258701977,Drop N Dash Laundromat,,,Airport,WY,,41.1584908,-104.8016951,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-alpine-bd2d53e915,Alpine post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2295984007,Laundromat,,,Alpine,WY,,43.1625212,-111.0222567,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:258701977,Drop N Dash Laundromat,,,Capitol Station,WY,,41.1584908,-104.8016951,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-cheyenne-main-42bc384548,Cheyenne Main post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:258701977,Drop N Dash Laundromat,,,Cheyenne Main,WY,,41.1584908,-104.8016951,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-downtown-d843f7ed9b,Downtown post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12001047974,,,,Downtown,WY,,43.4719046,-110.7785079,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-downtown-d843f7ed9b,Downtown post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:3066901697,Missing Sock,,,Downtown,WY,,43.4589292,-110.7938713,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-fedex-ship-center-2a4f6d3fd4,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:258701977,Drop N Dash Laundromat,,,FedEx Ship Center,WY,,41.1584908,-104.8016951,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12051388816,,,,FedEx Ship Center,WY,,44.2720915,-105.5042430,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12051388817,,,,FedEx Ship Center,WY,,44.2713657,-105.5036515,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12060206202,,,,FedEx Ship Center,WY,,44.2776616,-105.5017122,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13051373626,,,,FedEx Ship Center,WY,,44.2778692,-105.5069230,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
