target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:290102929,40th Avenue Post Office,,,40th Avenue,MS,,31.3218985,-89.3470045,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:10902844478,Abbeville Post Office,,,Abbeville,MS,,34.5027927,-89.5016865,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:533486849,Amory Post Office,,,Amory,MS,,33.9859216,-88.4885800,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1157930618,Anguilla Post Office,,,Anguilla,MS,,32.9747190,-90.8295594,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1452088224,Arcola Post Office,,,Arcola,MS,,33.2705254,-90.8787119,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:11394182887,Arkabutla Post Office,,,Arkabutla,MS,,34.6985733,-90.1229536,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:577203869,Avon Post Office,,,Avon,MS,,33.2320008,-91.0466123,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:914184325,Beaumont Post Office,,,Beaumont,MS,,31.1704757,-88.9227687,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:10891125927,Becker Post Office,,,Becker,MS,,33.9291717,-88.4782999,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:226105690,Belden Post Office,,,Belden,MS,,34.3082022,-88.7839905,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
ms-geofabrik-post-office-seed,MS Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:357998067,Bellefontaine Post Office,,,Bellefontaine,MS,,33.6484378,-89.3103401,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
