target_id,target_label,anchor_field,brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status,review_status,review_reason
wa-min-postal-eatonville,Eatonville minimum postal parish candidate,minimum_postal_parish_candidate,Shell,0798134d-ada2-4b65-8d20-0c92b067fcd8,Shell,360 Center St E,Eatonville,WA,98328-7449,46.86606979370117,-122.2625732421875,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
wa-min-postal-forks,Forks minimum postal parish candidate,minimum_postal_parish_candidate,76,489b5ea8-688b-428e-b9ef-a40bed6ca285,76,490 N Forks Ave,Forks,WA,98331,47.95686721801758,-124.38816833496094,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
wa-min-postal-forks,Forks minimum postal parish candidate,minimum_postal_parish_candidate,Shell,2899ca92-105e-4765-92cb-8bb5b48e28ed,Shell,170 N Forks Ave,Forks,WA,98331-9721,47.95267868041992,-124.3855972290039,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
wa-min-postal-friday-harbor,Friday Harbor minimum postal parish candidate,minimum_postal_parish_candidate,76,ef531faf-5966-45c4-8227-f1ec8fd417bf,76,285 Spring St,Friday Harbor,WA,98250,48.533565521240234,-123.0175552368164,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
wa-min-postal-friday-harbor,Friday Harbor minimum postal parish candidate,minimum_postal_parish_candidate,76,c1dbbc84-9141-4daa-948c-213ef72e3be1,ARGYLE FRIDAY HARBOR,420 ARGYLE AVE,FRIDAY HARBOR,WA,98250-9806,48.53269958496094,-123.01720428466797,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
wa-min-postal-friday-harbor,Friday Harbor minimum postal parish candidate,minimum_postal_parish_candidate,Shell,7f0293ec-d956-47fe-8c6a-75f51823bdd0,Shell,100 Front St,Friday Harbor,WA,98250,48.532745361328125,-123.01736450195312,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
wa-min-postal-friday-harbor,Friday Harbor minimum postal parish candidate,minimum_postal_parish_candidate,Shell,c3068a85-d349-455f-becc-c621a2554abf,Shell,315 Carter Ave,Friday Harbor,WA,98250-8374,48.53704071044922,-123.02909851074219,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
wa-min-postal-kettle-falls,Kettle Falls minimum postal parish candidate,minimum_postal_parish_candidate,Chevron,7e5a6f44-6f77-49fa-8fb4-bbfdd2d7df63,Chevron,1050 W 3RD AVE,KETTLE FALLS,WA,99141-9614,48.60797882080078,-118.07200622558594,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
wa-min-postal-mattawa,Mattawa minimum postal parish candidate,minimum_postal_parish_candidate,76,9e225a29-9340-4604-8194-7f9ead1b3190,76,88 Government Rd E,Mattawa,WA,99349-5115,46.737483978271484,-119.9072036743164,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
wa-min-postal-mesa,Mesa minimum postal parish candidate,minimum_postal_parish_candidate,76,1a5d8f7f-71f9-4a56-92bb-b2ccd39a7c3f,76,7380 Road 170,Mesa,WA,99343,46.59148025512695,-119.15557861328125,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
