target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note,seed_facility_id,seed_facility_name,seed_source,seed_source_date,sample_stratum,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_join_key,settlement_proxy_note
national-post-office-sd-aberdeen-d465535319,Aberdeen post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Aberdeen,post_office_point_probe,,45.4177,45.4877,-98.5411,-98.4511,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:249307585,Aberdeen Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-sd-alcester-4fbca0de20,Alcester post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Alcester,post_office_point_probe,,42.9862,43.0562,-96.6743,-96.5843,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:13924275101,Alcester Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-sd-alexandria-2e7eebff18,Alexandria post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Alexandria,post_office_point_probe,,43.6196,43.6896,-97.8282,-97.7382,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1365950432,Alexandria Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-sd-allen-79c0327f6e,Allen post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Allen,post_office_point_probe,,43.2372,43.3072,-101.9604,-101.8704,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:266540059,Allen Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-sd-alpena-a0ee450c87,Alpena post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Alpena,post_office_point_probe,,44.1466,44.2166,-98.4101,-98.3201,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1358335204,Alpena Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-sd-armour-3ca30d418c,Armour post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Armour,post_office_point_probe,,43.2844,43.3544,-98.3913,-98.3013,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1371365144,Armour Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-sd-artesian-a7016c8d34,Artesian post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Artesian,post_office_point_probe,,43.9736,44.0436,-97.9666,-97.8766,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:13924667401,Artesian Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-sd-astoria-fe7bf7e0c0,Astoria post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Astoria,post_office_point_probe,,44.5234,44.5934,-96.5904,-96.5004,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1385196220,Astoria Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-sd-avon-4e69ef7609,Avon post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Avon,post_office_point_probe,,42.9697,43.0397,-98.1055,-98.0155,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1357173247,Avon Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-sd-badger-fce2190452,Badger post-office-centered national sample candidate,national_post_office_sample_candidate,SD,Badger,post_office_point_probe,,44.4500,44.5200,-97.2500,-97.1600,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:12821006080,Badger Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,SD,under_2500,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
