target_id,primary_city,settlement_size_proxy,minimum_stack_class,post_office_status,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,everyday_service_signal_count,everyday_service_signals,classification_note
national-post-office-ri-annex-finance-af912748c0,Annex Finance,50000_plus,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-apponaug-station-f8f803db9f,Apponaug Station,50000_plus,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-barrington-82bdad8fc9,Barrington,10000_to_49999,postal_everyday_service_minimum,observed,observed,checked_absent,checked_absent,observed,observed,3,food_service; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-block-island-ac7592fa0e,Block Island,under_2500,postal_everyday_service_minimum,observed,observed,observed,checked_absent,checked_absent,checked_absent,2,food_service; gas_convenience,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-bristol-350c233b54,Bristol,10000_to_49999,postal_food_service_minimum,observed,observed,checked_absent,checked_absent,checked_absent,checked_absent,1,food_service,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-broadway-346c2a36b6,Broadway,10000_to_49999,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-bryant-university-1c4c9cc6b0,Bryant University,10000_to_49999,postal_everyday_service_minimum,observed,observed,observed,checked_absent,checked_absent,checked_absent,2,food_service; gas_convenience,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-central-falls-211329b45d,Central Falls,10000_to_49999,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-centreville-57742e4232,Centreville,10000_to_49999,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-chepachet-3035201489,Chepachet,2500_to_9999,postal_food_service_minimum,observed,observed,checked_absent,checked_absent,checked_absent,checked_absent,1,food_service,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-clayville-f1ff22f00c,Clayville,10000_to_49999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-ri-coventry-6d6e6926c0,Coventry,10000_to_49999,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
