target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-wy-capitol-station-6ac1770321,Capitol Station post-office-centered national sample candidate,national_post_office_sample_candidate,dollar_store,osm:way:755560859,Dollar General Market,,,Capitol Station,WY,,41.1029459,-104.7997961,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_dollar_store
national-post-office-wy-unknown-5a1dc5d434,Unknown post-office-centered national sample candidate,national_post_office_sample_candidate,dollar_store,osm:way:422430244,Family Dollar,,,Unknown,WY,,44.4926921,-108.0559457,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_dollar_store
