target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ca-big-pine-c6a6b457b7,Big Pine post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:502245538,High Country Market,,,Big Pine,CA,,37.1664543,-118.2900178,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-big-pine-c6a6b457b7,Big Pine post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:725696726,Mobil Mart,,,Big Pine,CA,,37.1692776,-118.2892349,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-big-pine-c6a6b457b7,Big Pine post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:11115142340,Shell,,,Big Pine,CA,,37.1658247,-118.2899523,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:772839019,Athenian School Store,,,Diablo,CA,,37.8331497,-121.9506978,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1087792487,Chevron,,,Diablo,CA,,37.8232794,-121.9929181,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:834097721,Circle K,,,Diablo,CA,,37.8090781,-121.9912980,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:6448837329,Danville Market,,,Diablo,CA,,37.8183094,-121.9958692,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:105058244,ExtraMile,,,Diablo,CA,,37.8118581,-121.9948120,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:9827401393,Food Mart,,,Diablo,CA,,37.8109595,-121.9947031,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:9665241462,The Old Towne Station,,,Diablo,CA,,37.8143186,-121.9956519,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-forestville-76b2d0fdbd,Forestville post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1020340419,,,,Forestville,CA,,38.4462235,-122.8664633,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ca-forestville-76b2d0fdbd,Forestville post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1020700284,Rotten Robbie,,,Forestville,CA,,38.4738722,-122.8944853,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:232375802,,,,PostalAnnex,CA,,37.4160321,-122.1293324,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:1387206075,7-Eleven,,,PostalAnnex,CA,,37.4140197,-122.0896190,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:3836342986,7-Eleven,,,PostalAnnex,CA,,37.3772582,-122.0627970,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:4406233694,7-Eleven,,,PostalAnnex,CA,,37.3941693,-122.0961707,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:529145110,7-Eleven,,,PostalAnnex,CA,,37.4159790,-122.0771488,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:100225390,7-Eleven,,,PostalAnnex,CA,,37.3966673,-122.0602224,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:700252078,7-Eleven,,,PostalAnnex,CA,,37.4067376,-122.1117792,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:80941056,7-Eleven,,,PostalAnnex,CA,,37.3964628,-122.1008813,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:264034820,76,,,PostalAnnex,CA,,37.4167345,-122.1036922,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:317011347,76,,,PostalAnnex,CA,,37.3853851,-122.0529154,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:9684162114,Alliance Gasoline,,,PostalAnnex,CA,,37.3798418,-122.0728160,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
