target_id,primary_city,settlement_size_proxy,sidecar_status,packet_ready_rows,named_rows,source_gated_rows,observed_names,evidence
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina,50000_plus,observed,6,4,0,7-Eleven; 76; Aloha Island Mart; Number One Store,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo,10000_to_49999,observed,17,13,0,7-Eleven; 76; Aloha Island Mart; Banyan Mini Mart; Kai Store; Keaukaha General Store; Lani’s Island Snack Shack; Manono Minimart,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-eleele-decc48678b,Eleele,2500_to_9999,observed,1,1,0,Aloha Sweet Delights,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-89c3ba0615,FedEx,50000_plus,observed,80,29,0,123 Store; 7-Eleven; 76; ABC; Ala Wai Pantry; Ali'i Market; Alicia's Market; Aloha Island Mart,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-c4048ca71c,FedEx,10000_to_49999,observed,20,16,0,7-Eleven; 76; Aloha Island Mart; Aloha Petroleum; Banyan Mini Mart; Kagimoto’s; Kai Store; Keaukaha General Store,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office,50000_plus,observed,16,6,0,7-Eleven; Aloha Island Mart; FoodMart; Mari's Market; Pearl City Mini Mart; Shell,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-office-d898801937,FedEx Office,50000_plus,observed,73,28,0,123 Store; 7-Eleven; 76; ABC; Ala Wai Pantry; Ali'i Market; Alicia's Market; Aloha Island Mart,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center,50000_plus,observed,14,12,0,Alicia's Market; Aloha Island Mart; Circle K; HOLO Card Booth; Hele; Kalihi Super Meat; Mauka Plantation; Navy Exchange Fleet,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-hawaii-kai-station-35e19a89d6,Hawaii Kai Station,50000_plus,observed,4,3,0,7-Eleven; Aloha Island Mart; Texaco,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-holualoa-792d6ec145,Holualoa,10000_to_49999,observed,5,5,0,ABC; Aloha Island Mart; Banyan Mart; Food Mart; Lynn’s,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-honaunau-fdd6693c98,Honaunau,2500_to_9999,observed,1,1,0,Fujihara's Last Stop,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-honomu-13b4cb3d6c,Honomu,2500_to_9999,observed,2,2,0,Jan's; Pohina Products LLC,Named gas_convenience rows from Geofabrik OSM GeoPackage within target box.
