target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:1234350327,,,,Brea,CA,,33.9283276,-117.8768799,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:13327190060,,,,Brea,CA,,33.9322306,-117.9245549,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:13398820482,,,,Brea,CA,,33.9192406,-117.9013381,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:1391858794,,,,Brea,CA,,33.9237143,-117.8968012,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:1723466020,,,,Brea,CA,,33.9112196,-117.8826838,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:2265588035,,,,Brea,CA,,33.8990670,-117.9120613,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:5623271926,,,,Brea,CA,,33.9196503,-117.8983383,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:6919414163,,,,Brea,CA,,33.9181786,-117.8989864,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:430711410,,,,Brea,CA,,33.9177318,-117.9322667,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:846565408,,,,Brea,CA,,33.9135672,-117.9317197,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:228727863,Akafuji,,,Brea,CA,,33.9139556,-117.9319866,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
