target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-tx-postal-service-2c5fb90ddb,Postal Service,gas_convenience,observed,18,7-Eleven; CEFCO; Circle K; E-Z Way; Fastime; Mickey's; Mickey's Convenience Food Store; Pershing Park Express; Philippine Food Store; Shell; Star Mart; Stripes; Swadesh Bazaar; Walmart,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-aquilla-d120437058,Aquilla,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-eustace-aa3e3793d7,Eustace,gas_convenience,observed,2,Texstop; Tiger Mart,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-sharon-s-hallmark-6709796b0d,Sharon's/Hallmark,gas_convenience,observed,31,7-Eleven; Chevron; Circle K; DK; El Super; Food Mart; Good Time Market; Murphy Express; Murphy USA; Speedway; Valero,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-sam-houston-5869764f51,SAM HOUSTON,gas_convenience,observed,53,7-Eleven; AZ Food Mart; Almeda Gas Mart; Buddy's; Checkout; Chevron; Circle K; Clutch City; Corner Food Mart; Cuney Super Market; Downtown Convenience Store; East Grocery Convenience Store; Eddy Lim Market; Express Mart; Fannin Food Mart; Food & Go; Food Mart; Fuel Depot; Fuel Stop; Houston Food Mart; Icebox; James Food Store; King Fuels; Little Buddy; Long Sing Supermarket; Main Food store; Metro Mart; Midtown Food Store; Midtown Market; Oscar Food Mart & Deli; Pak's Corner Store; Pak-A-Sak Grocery; Peter's Friendly Food Mart; Primetime; S & O Grocery; Shell; Star Stop; Stop & Shop; Sunrise Supermarket; Super K Food Mart; Super Noodle Company; Timewise; Twee's Corner Food Store; Winner's Corner; Woods Food Mart,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-brady-78c2feb851,Brady,gas_convenience,observed,3,Berkly's; DK; Yes Way,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-vidor-56f6f66a69,Vidor,gas_convenience,observed,4,Fast Break Food Store; Fuelbox; Star Stop; Walmart Grab & Go,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-tennessee-colony-2be2ac6bfa,Tennessee Colony,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-mountain-home-040d568fdd,Mountain Home,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-astrodome-4e10ef4349,Astrodome,gas_convenience,observed,16,1st Stop; Almeda Gas Mart; Circle K; Giraffee Feeding; Grab N Go; King Fuels; Korner Food Mart; On The Go C-Store; Q Mart; Shell; Star Shop #15; Star Stop; Sunny's Food Store; timewise,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-dallas-lake-highlands-station-ddaa42f713,Dallas Lake Highlands Station,gas_convenience,observed,22,7-Eleven; Benny's Food Mart; Chevron; Daily Stop; EZ Shop Food Store; Murphy Express; QuikTrip; RaceTrac,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-el-campo-6f0d5231c3,El Campo,gas_convenience,observed,1,Beverage Wall,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
