target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ca-sonora-e095478671,Sonora,gas_convenience,observed,1,ampm,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-forestville-76b2d0fdbd,Forestville,gas_convenience,observed,1,Rotten Robbie,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-soledad-2a4f7e829e,Soledad,gas_convenience,observed,2,Bingo Market; ExtraMile,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro,gas_convenience,observed,20,7-Eleven; Abe's; Blaze N' Max; Downtown Auto Repair; Four Bells Market & Liquor; Lucky Two; McDonald's; Oakland Express Market; Q&S Market; Quick Stop; Speedway; Valero; ampm,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-big-pine-c6a6b457b7,Big Pine,gas_convenience,observed,3,High Country Market; Mobil Mart; Shell,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-postalannex-3d05afd908,PostalAnnex,gas_convenience,observed,29,7-Eleven; 76; Alliance Gasoline; Arco; Baron Park Market and Florist; Barron Park Shell; Caffino; California Street Market; Circle K; Driftwood Deli and Market; Easy Foods; Galamart; Loop; Los Altos 76; Los Altos Gas; MGM Chevron; Mobil Mart; Moon Mart; Mountain View Arco; Samovar Deli; Sav Mor Food Mart; ampm,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-pioneer-496558d781,Pioneer,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-crescent-mills-a3611132f6,Crescent Mills,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-san-joaquin-25318cc47c,San Joaquin,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-diablo-b33cebdca3,Diablo,gas_convenience,observed,7,Athenian School Store; Chevron; Circle K; Danville Market; ExtraMile; Food Mart; The Old Towne Station,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-angwin-f00965e642,Angwin,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-copperopolis-299815fb9d,Copperopolis,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
