target_id,primary_city,settlement_size_proxy,minimum_stack_class,post_office_status,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,everyday_service_signal_count,everyday_service_signals,classification_note
national-post-office-wy-airport-fcb22eb890,Airport,50000_plus,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-alpine-bd2d53e915,Alpine,under_2500,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-auburn-0e0a391047,Auburn,10000_to_49999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-beulah-02adcbe8f4,Beulah,2500_to_9999,postal_everyday_service_minimum,observed,checked_absent,observed,checked_absent,checked_absent,checked_absent,1,gas_convenience,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-big-horn-809ef111f7,Big Horn,2500_to_9999,postal_everyday_service_minimum,observed,observed,checked_absent,checked_absent,checked_absent,checked_absent,1,food_service,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-boulder-wy-b9fd25d928,"Boulder, WY",under_2500,postal_everyday_service_minimum,observed,checked_absent,observed,checked_absent,checked_absent,checked_absent,1,gas_convenience,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-buffalo-main-46c786b9c1,Buffalo Main,2500_to_9999,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,checked_absent,3,food_service; gas_convenience; hardware,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-capitol-station-6ac1770321,Capitol Station,50000_plus,postal_everyday_service_minimum,observed,observed,observed,observed,observed,observed,5,food_service; gas_convenience; dollar_store; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY,2500_to_9999,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-casper-2e4affc90a,Casper,50000_plus,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,checked_absent,3,food_service; gas_convenience; hardware,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-centennial-db8e2c4b6f,Centennial,under_2500,postal_everyday_service_minimum,observed,observed,checked_absent,checked_absent,checked_absent,checked_absent,1,food_service,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-wy-cheyenne-main-42bc384548,Cheyenne Main,50000_plus,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
