target_id,primary_city,settlement_size_proxy,minimum_stack_class,post_office_status,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,everyday_service_signal_count,everyday_service_signals,classification_note
national-post-office-sd-aberdeen-d465535319,Aberdeen,10000_to_49999,postal_everyday_service_minimum,observed,observed,observed,checked_absent,observed,observed,4,food_service; gas_convenience; hardware; laundromat,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-alcester-4fbca0de20,Alcester,under_2500,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-alexandria-2e7eebff18,Alexandria,under_2500,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-allen-79c0327f6e,Allen,under_2500,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-alpena-a0ee450c87,Alpena,under_2500,postal_food_service_minimum,observed,observed,checked_absent,checked_absent,checked_absent,checked_absent,1,food_service,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-armour-3ca30d418c,Armour,under_2500,postal_everyday_service_minimum,observed,checked_absent,checked_absent,checked_absent,observed,checked_absent,1,hardware,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-artesian-a7016c8d34,Artesian,under_2500,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-astoria-fe7bf7e0c0,Astoria,under_2500,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-avon-4e69ef7609,Avon,under_2500,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-badger-fce2190452,Badger,under_2500,postal_only_candidate,observed,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,0,,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-baltic-88f3282873,Baltic,under_2500,postal_everyday_service_minimum,observed,checked_absent,observed,checked_absent,observed,checked_absent,2,gas_convenience; hardware,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
national-post-office-sd-batesland-cb6a7a11b2,Batesland,under_2500,postal_everyday_service_minimum,observed,checked_absent,observed,checked_absent,checked_absent,checked_absent,1,gas_convenience,Geofabrik local OSM extract sidecar classification; no live Overpass absence claim.
